hyponym	1
rubberize.v.01	a6
bird_genus.n.01	a7
perdix.n.01	a8
invest.v.04	a9
ordain.v.02	aa
implement.n.01	ab
writing_implement.n.01	ac
mineral.n.01	ad
ore.n.01	ae
extremity.n.05	af
finger.n.01	b0
write.v.01	b1
lyric.v.01	b2
dig.v.01	b3
burrow.v.01	b4
seiurus.n.01	b5
drupe.n.01	b6
jujube.n.02	b7
perceive.v.01	b8
divine.v.01	b9
winter_squash.n.01	ba
hubbard_squash.n.01	bb
reformer.n.01	bc
abolitionist.n.01	bd
artifact.n.01	be
layer.n.01	bf
fungus_genus.n.01	c0
gastroboletus.n.01	c1
problem_solving.n.02	c2
calculation.n.02	c3
body.n.02	c4
panel.n.04	c5
honeyflower.n.01	c6
remains.n.01	c7
fossil.n.02	c8
bubble.n.01	c9
foam.n.01	ca
social_group.n.01	cb
kin.n.02	cc
subshrub.n.01	cd
avens.n.01	ce
assumption.n.02	cf
basis.n.02	d0
toothed_whale.n.01	d1
dolphin.n.02	d2
furnishing.n.02	d3
rug.n.01	d4
be.v.01	d5
cost.v.01	d6
demeanor.n.01	d7
swashbuckling.n.01	d8
change.v.02	d9
turn.v.07	da
instrument.n.01	db
cautery.n.01	dc
fish_family.n.01	dd
esocidae.n.01	de
astacidae.n.01	df
energy.n.01	e0
mechanical_energy.n.01	e1
iguanid.n.01	e2
zebra-tailed_lizard.n.01	e3
stuff.v.01	e4
pad.v.03	e5
lower.v.01	e6
incline.v.03	e7
flavorer.n.01	e8
celery_salt.n.01	e9
assembly.n.06	ea
convocation.n.02	eb
pod.n.02	ec
legume.n.02	ed
triakidae.n.01	ee
loudspeaker.n.01	ef
bullhorn.n.01	f0
transform.v.02	f1
work.v.05	f2
sharpener.n.01	f3
situate.v.01	f4
place.v.12	f5
watch.v.01	f6
witness.v.01	f7
recognition.n.03	f8
happen.v.01	f9
result.v.03	fa
cancel.v.03	fb
invalidate.v.01	fc
country-dance.n.01	fd
swing.n.09	fe
change.n.03	ff
reduction.n.03	100
acquiring.n.01	101
reception.n.04	102
act.n.02	103
propulsion.n.02	104
publication.n.01	105
periodical.n.01	106
texture.n.04	107
marbleization.n.01	108
cutting_implement.n.01	109
bit.n.11	10a
indication.n.01	10b
manifestation.n.02	10c
reason.v.01	10d
induce.v.04	10e
carnosaura.n.01	10f
appear.v.02	110
reappear.v.01	111
water.n.06	112
drinking_water.n.01	113
restrainer.n.02	114
suppressor.n.01	115
dicot_genus.n.01	116
grias.n.01	117
nothing.n.01	118
nihil.n.01	119
disagree.v.01	11a
contradict.v.02	11b
bureaucracy.n.01	11c
pentagon.n.02	11d
box.v.03	11e
prizefight.v.01	11f
state.v.01	120
add.v.02	121
plant_order.n.01	122
rhoeadales.n.01	123
ajaia.n.01	124
religious_residence.n.01	125
convent.n.01	126
change.v.01	127
naturalize.v.01	128
composure.n.01	129
aplomb.n.01	12a
gymnastics.n.01	12b
acrobatics.n.01	12c
break.v.02	12d
puncture.v.05	12e
japanese_pagoda_tree.n.01	12f
bivalve.n.01	130
mussel.n.02	131
injure.v.01	132
knife.v.01	133
operation.n.06	134
hysterotomy.n.01	135
medicine.n.02	136
immunosuppressant.n.01	137
telecommunicate.v.01	138
fax.v.01	139
beginning.n.04	13a
fountainhead.n.02	13b
tupaiidae.n.01	13c
be.v.03	13d
extend.v.06	13e
depreciate.v.02	13f
expense.v.01	140
car_window.n.01	141
quarterlight.n.01	142
pamperer.n.01	143
excavation.n.03	144
pit.n.09	145
designate.v.01	146
label.v.01	147
touch.n.10	148
cutaneous_sensation.n.01	149
rosid_dicot_genus.n.01	14a
jatropha.n.01	14b
cowardice.n.01	14c
fearfulness.n.02	14d
coccid_insect.n.01	14e
scale_insect.n.01	14f
donor.n.01	150
indian_giver.n.01	151
oenanthe.n.01	152
fabric.n.01	153
rayon.n.01	154
worry.v.03	155
misgive.v.01	156
hit.v.03	157
slug.v.01	158
picture.n.01	159
collage.n.01	15a
color.v.01	15b
verdigris.v.01	15c
analgesic.n.01	15d
acetaminophen.n.01	15e
express.v.02	15f
wish.v.03	160
push.n.01	161
depression.n.10	162
noctuid_moth.n.01	163
heliothis_moth.n.01	164
european.n.01	165
czechoslovakian.n.01	166
combatant.n.01	167
mauler.n.01	168
gadfly.n.02	169
botfly.n.01	16a
female_genitalia.n.01	16b
minge.n.01	16c
cosmetic.n.01	16d
depilatory.n.02	16e
consumer_goods.n.01	16f
clothing.n.01	170
abomination.n.01	171
dandelion.n.01	172
common_dandelion.n.01	173
care.n.01	174
manicure.n.01	175
gall_midge.n.01	176
hessian_fly.n.01	177
nerve_cell.n.01	178
motor_neuron.n.01	179
transportation.n.02	17a
drive.n.07	17b
segment.v.01	17c
quarter.v.03	17d
hurt.v.06	17e
catch.v.22	17f
breeze.n.01	180
light_air.n.01	181
wetting_agent.n.01	182
detergent.n.01	183
epic_poem.n.01	184
heroic_verse.n.01	185
substitution.n.02	186
receiver.n.01	187
television_receiver.n.01	188
volatilize.v.01	189
run.v.06	18a
drain.v.01	18b
oilseed.n.01	18c
rapeseed.n.01	18d
contemplation.n.02	18e
cogitation.n.02	18f
idle.v.02	190
ride_the_bench.v.01	191
real_presence.n.01	192
pedal.n.02	193
soft_pedal.n.01	194
organization.n.06	195
systematization.n.01	196
wildflower.n.01	197
pasqueflower.n.01	198
hollow.v.02	199
excavate.v.03	19a
fast_buck.n.01	19b
scholar.n.01	19c
masorete.n.01	19d
liliid_monocot_genus.n.01	19e
tofieldia.n.01	19f
greed.n.01	1a0
acquisitiveness.n.01	1a1
wrongdoing.n.02	1a2
infliction.n.02	1a3
willow.n.01	1a4
peachleaf_willow.n.01	1a5
arthropod_genus.n.01	1a6
anomala.n.01	1a7
act.v.01	1a8
prosecute.v.03	1a9
gymnospermous_tree.n.01	1aa
fish_genus.n.01	1ab
calamus.n.04	1ac
folk_dancing.n.01	1ad
hornpipe.n.01	1ae
digit.n.03	1af
toe.n.01	1b0
conifer.n.01	1b1
kauri_pine.n.01	1b2
international_intelligence_agency.n.01	1b3
international_relations_and_security_network.n.01	1b4
reach.v.01	1b5
scale.v.04	1b6
education.n.01	1b7
coeducation.n.01	1b8
mammal_genus.n.01	1b9
bettongia.n.01	1ba
physical_entity.n.01	1bb
object.n.01	1bc
wound.n.01	1bd
bite.n.01	1be
photograph.n.01	1bf
photographic_print.n.01	1c0
english_person.n.01	1c1
englishman.n.01	1c2
shortening.n.02	1c3
contraction.n.01	1c4
program.n.07	1c5
utility_program.n.01	1c6
american_spikenard.n.01	1c7
calculate.v.01	1c8
average.v.03	1c9
protoctist_order.n.01	1ca
ulvales.n.01	1cb
apparatus.n.01	1cc
telegraph.n.01	1cd
prosecute.v.01	1ce
wetness.n.01	1cf
humidity.n.01	1d0
bake.v.01	1d1
fire.v.03	1d2
skeletal_structure.n.01	1d3
axial_skeleton.n.01	1d4
direction.n.06	1d5
rule.n.03	1d6
agent.n.02	1d7
parliamentary_agent.n.01	1d8
comb.n.05	1d9
comb-out.n.01	1da
covering.n.01	1db
scale.n.10	1dc
priest.n.01	1dd
bishop.n.01	1de
difficulty.n.03	1df
fix.n.01	1e0
thiazide.n.01	1e1
hydrochlorothiazide.n.01	1e2
shrink.v.03	1e3
miniaturize.v.01	1e4
pleat.n.01	1e5
tuck.n.03	1e6
ornithischian.n.01	1e7
ornithopod.n.01	1e8
somatic_cell.n.01	1e9
muscle_cell.n.01	1ea
current.n.02	1eb
whirlpool.n.01	1ec
nap.n.04	1ed
zizz.n.02	1ee
italian.n.01	1ef
organize.v.04	1f0
interlock.v.01	1f1
plan.n.01	1f2
project.n.02	1f3
jaeger.n.01	1f4
skua.n.01	1f5
military_installation.n.01	1f6
arsenal.n.02	1f7
mistreatment.n.01	1f8
exploitation.n.02	1f9
organize.v.05	1fa
mount.v.07	1fb
lepton.n.02	1fc
electron.n.01	1fd
indicator.n.04	1fe
acid-base_indicator.n.01	1ff
absorb.v.09	200
rivet.v.03	201
shop.n.01	202
salon.n.02	203
divination.n.03	204
dowse.n.01	205
canis.n.01	206
pigment.n.01	207
retinene.n.01	208
summons.n.03	209
ticket.n.03	20a
sexual_desire.n.01	20b
love.n.04	20c
move.v.03	20d
beat.v.15	20e
hamamelid_dicot_genus.n.01	20f
alnus.n.01	210
dinosaur.n.01	211
saurischian.n.01	212
ritual.n.01	213
betrothal.n.02	214
swimming.n.01	215
floating.n.01	216
assortment.n.01	217
alphabet_soup.n.01	218
stop_consonant.n.01	219
glottal_stop.n.01	21a
center.n.04	21b
center_of_mass.n.01	21c
dish.n.02	21d
poi.n.01	21e
transmission.n.02	21f
modulation.n.02	220
tinea.n.02	221
plant_genus.n.01	222
cynoglossum.n.01	223
remove.v.01	224
skim.v.06	225
local_anesthetic.n.01	226
procaine.n.01	227
ammodytidae.n.01	228
embryo.n.02	229
blastula.n.01	22a
opening.n.01	22b
crack.n.01	22c
spirochaetales.n.01	22d
attack.n.01	22e
surprise_attack.n.01	22f
stay.v.04	230
bide.v.01	231
joining.n.01	232
fastening.n.02	233
scale.n.01	234
temperature_scale.n.01	235
remember.v.01	236
recognize.v.04	237
provide.v.02	238
regale.v.01	239
polygonatum.n.01	23a
assimilate.v.02	23b
acculturate.v.01	23c
wayfaring_tree.n.01	23d
colubrid_snake.n.01	23e
lyre_snake.n.01	23f
savior.n.02	240
messiah.n.01	241
homosexual.n.01	242
lesbian.n.01	243
natural_language.n.01	244
niger-kordofanian.n.01	245
broussonetia.n.01	246
vehicle.n.01	247
rocket.n.01	248
mean.v.01	249
spell.v.02	24a
movie.n.01	24b
shoot-'em-up.n.01	24c
kill.v.01	24d
murder.v.01	24e
questioning.n.01	24f
question.n.01	250
indoctrinate.v.01	251
revolutionize.v.03	252
pollution.n.01	253
air_pollution.n.01	254
owl.n.01	255
barred_owl.n.01	256
acerbate.v.02	257
atom.n.02	258
flyspeck.n.01	259
frighten.v.01	25a
intimidate.v.01	25b
blister_beetle.n.01	25c
frog.n.01	25d
obstetrical_toad.n.01	25e
shading.n.01	25f
hatch.n.02	260
negotiator.n.01	261
bargainer.n.02	262
beginning.n.02	263
terminus_a_quo.n.01	264
observe.v.04	265
bird.v.01	266
mischief.n.01	267
vandalism.n.01	268
coral_snake.n.01	269
asian_coral_snake.n.01	26a
natural_object.n.01	26b
celestial_body.n.01	26c
tumor.n.01	26d
angioma.n.01	26e
piperaceae.n.01	26f
stare.n.01	270
gaze.n.01	271
religion.n.01	272
mysticism.n.01	273
property.n.02	274
isotropy.n.01	275
family.n.06	276
fern_family.n.01	277
pass.v.07	278
clear.v.09	279
organ.n.01	27a
coalesce.v.02	27b
clog.v.05	27c
traverse.v.01	27d
stride.v.02	27e
distance.n.01	27f
nearness.n.01	280
hand_tool.n.01	281
hammer.n.02	282
utter.v.02	283
trumpet.v.03	284
home_appliance.n.01	285
iron.n.04	286
worker.n.01	287
measuring_stick.n.01	288
rule.n.12	289
multiply.v.02	28a
double.v.01	28b
muslim.n.01	28c
fakir.n.01	28d
worship.n.01	28e
deification.n.03	28f
macromolecule.n.01	290
carbohydrate.n.01	291
liquid_body_substance.n.01	292
amniotic_fluid.n.01	293
body_part.n.01	294
thorax.n.02	295
alectoria.n.01	296
pierce.v.05	297
sting.v.02	298
structure.n.04	299
bridge.n.04	29a
environment.n.01	29b
sphere.n.01	29c
arrange.v.06	29d
table.v.02	29e
weaponry.n.01	29f
hardware.n.01	2a0
military_post.n.01	2a1
tube.n.01	2a2
hose.n.03	2a3
anthyllis.n.01	2a4
specify.v.03	2a5
determine.v.06	2a6
marten.n.01	2a7
fisher.n.02	2a8
new_world_vulture.n.01	2a9
buzzard.n.01	2aa
let_go_of.v.01	2ab
toggle.v.03	2ac
european_country.n.01	2ad
scandinavian_country.n.01	2ae
cuculiform_bird.n.01	2af
touraco.n.01	2b0
change_state.v.01	2b1
open.v.03	2b2
reptile_genus.n.01	2b3
calliophis.n.01	2b4
defense_mechanism.n.01	2b5
repression.n.02	2b6
spinel.n.01	2b7
amphibian_genus.n.01	2b8
genus_siren.n.01	2b9
sovereign.n.01	2ba
czar.n.01	2bb
hearing_impairment.n.01	2bc
deafness.n.01	2bd
exhale.v.01	2be
blow.v.01	2bf
linum.n.01	2c0
army.n.01	2c1
host.n.05	2c2
selective-serotonin_reuptake_inhibitor.n.01	2c3
paroxetime.n.01	2c4
vertebrate.n.01	2c5
amphibian.n.03	2c6
ornithomimida.n.01	2c7
create_by_mental_act.v.01	2c8
plan.v.03	2c9
dullness.n.03	2ca
flatness.n.04	2cb
nymphalid.n.01	2cc
red-spotted_purple.n.01	2cd
structural_member.n.01	2ce
brace.n.09	2cf
impropriety.n.01	2d0
indelicacy.n.01	2d1
proceeding.n.01	2d2
legal_action.n.01	2d3
comfort.v.01	2d4
still.v.03	2d5
motion.n.06	2d6
haste.n.02	2d7
orchid.n.01	2d8
oncidium.n.01	2d9
marblewood.n.02	2da
argumentation.n.02	2db
line_of_inquiry.n.01	2dc
rebuke.n.01	2dd
castigation.n.01	2de
signer.n.02	2df
witness.n.04	2e0
web_map_service.n.01	2e1
inflammatory_disease.n.01	2e2
acne.n.01	2e3
undergarment.n.01	2e4
brassiere.n.01	2e5
privation.n.02	2e6
pauperization.n.02	2e7
cut.n.06	2e8
cut_of_pork.n.01	2e9
ophioglossales.n.01	2ea
advocate.n.01	2eb
nullifier.n.01	2ec
land.n.02	2ed
wetland.n.01	2ee
nonsteroidal_anti-inflammatory.n.01	2ef
etodolac.n.01	2f0
animal.n.01	2f1
molter.n.01	2f2
change_posture.v.01	2f3
fall.v.23	2f4
powerlessness.n.01	2f5
uninterestingness.n.01	2f6
originator.n.01	2f7
proposer.n.02	2f8
react.v.02	2f9
pursue.v.04	2fa
emit.v.02	2fb
reflect.v.04	2fc
basal_ganglion.n.01	2fd
amygdala.n.01	2fe
elation.n.01	2ff
bliss.n.01	300
berry.n.01	301
persimmon.n.02	302
position.n.07	303
room.n.02	304
estimate.n.01	305
guess.n.02	306
measure.n.02	307
playing_period.n.01	308
creativity.n.01	309
inventiveness.n.01	30a
grey_willow.n.01	30b
medical_instrument.n.01	30c
syringe.n.01	30d
study.v.05	30e
memorize.v.01	30f
affect.v.01	310
subject.v.01	311
groove.n.03	312
fissure.n.03	313
compound.n.02	314
synthetic.n.01	315
free.v.01	316
run.v.31	317
glossopsitta.n.01	318
doctor.n.01	319
primary_care_physician.n.01	31a
lecture.n.02	31b
shag_rug.n.01	31c
rede.v.02	31d
tip_off.v.01	31e
contest.n.01	31f
series.n.04	320
american_feverfew.n.01	321
discard.v.01	322
deep-six.v.01	323
murder.n.01	324
elimination.n.05	325
rock.n.02	326
limestone.n.01	327
disappearance.n.02	328
trader.n.01	329
slopseller.n.01	32a
case.n.11	32b
oblique.n.01	32c
spiritual_being.n.01	32d
angel.n.01	32e
hold.v.10	32f
scaffold.v.01	330
solid.n.01	331
glass.n.01	332
electrode.n.01	333
emitter.n.01	334
computer_memory_unit.n.01	335
mebibit.n.01	336
develop.v.10	337
mature.v.01	338
decrease.n.01	339
waning.n.01	33a
action.n.07	33b
piano_action.n.01	33c
speech.n.02	33d
discussion.n.02	33e
transmit.v.04	33f
propagate.v.03	340
art.n.01	341
dance.n.01	342
emmanthe.n.01	343
weather.n.01	344
cold_weather.n.01	345
commissioned_military_officer.n.01	346
subaltern.n.01	347
biography.n.01	348
autobiography.n.01	349
antiemetic.n.01	34a
dimenhydrinate.n.01	34b
chelifer.n.01	34c
neck.n.05	34d
neckline.n.01	34e
activity.n.01	34f
practice.n.01	350
limulidae.n.01	351
feverroot.n.01	352
office.n.06	353
little_office.n.01	354
body.n.04	355
chromosome.n.01	356
encase.v.01	357
sack.v.04	358
carnivorous_bat.n.01	359
leafnose_bat.n.01	35a
yak.n.01	35b
prate.n.01	35c
flame_flower.n.02	35d
pigmy_talinum.n.01	35e
imaging.n.02	35f
x-raying.n.01	360
primrose.n.01	361
organic_process.n.01	362
secretion.n.01	363
polarization.n.02	364
rotation.n.01	365
wind.n.08	366
crucifer.n.01	367
shepherd's_purse.n.01	368
dose.n.01	369
pill.n.02	36a
power.v.01	36b
bacteria_family.n.01	36c
nostocaceae.n.01	36d
traumatize.v.01	36e
genus_quassia.n.01	36f
lampridae.n.01	370
radioscopy.n.01	371
relinquishment.n.02	372
handover.n.01	373
talk.v.02	374
whisper.v.01	375
large_indefinite_quantity.n.01	376
battalion.n.02	377
teleost_fish.n.01	378
flying_fish.n.01	379
allegro.n.02	37a
penetrate.v.01	37b
storm.v.02	37c
southerner.n.01	37d
confederate.n.01	37e
true_frog.n.01	37f
wood-frog.n.01	380
protective_covering.n.01	381
washboard.n.02	382
discipline.n.03	383
restraint.n.02	384
character.n.08	385
type.n.04	386
dysentery.n.01	387
amebic_dysentery.n.01	388
juncaceae.n.01	389
genus_stegosaurus.n.01	38a
avowal.n.01	38b
affirmative.n.01	38c
spirochaetaceae.n.01	38d
solid.n.03	38e
cast.n.03	38f
constitute.v.01	390
compose.v.01	391
collide.v.03	392
crash.v.03	393
general_officer.n.01	394
lieutenant_general.n.01	395
domain.n.02	396
kingdom.n.03	397
manipulate.v.05	398
psychological_feature.n.01	399
cognition.n.01	39a
reduce.v.01	39b
quench.v.05	39c
gadiformes.n.01	39d
hardware.n.03	39e
memory.n.04	39f
monocot_genus.n.01	3a0
genus_phaius.n.01	3a1
form.n.01	3a2
citation_form.n.01	3a3
desire.v.01	3a4
wish.v.01	3a5
swell.v.03	3a6
puff.v.07	3a7
send.v.01	3a8
route.v.02	3a9
descriptive_linguistics.n.01	3aa
phonology.n.01	3ab
room.n.01	3ac
locker_room.n.01	3ad
antimalarial.n.01	3ae
quinacrine.n.01	3af
conduit.n.01	3b0
sluice.n.01	3b1
meeting.n.03	3b2
conjunction.n.05	3b3
trash.v.01	3b4
acanthophis.n.01	3b5
electronic_countermeasures.n.01	3b6
electronic_deception.n.01	3b7
year.n.01	3b8
leap_year.n.01	3b9
carbonize.v.01	3ba
anthonomus.n.01	3bb
removal.n.01	3bc
withdrawal.n.02	3bd
army_engineer.n.01	3be
sapper.n.01	3bf
theologian.n.01	3c0
change_integrity.v.01	3c1
explode.v.01	3c2
tetrao.n.01	3c3
immateriality.n.02	3c4
insubstantiality.n.02	3c5
urodele.n.01	3c6
imagination.n.02	3c7
dream.n.01	3c8
australian_magpie.n.01	3c9
archpriest.n.01	3ca
increase.n.05	3cb
inclusion.n.04	3cc
manduca.n.01	3cd
thorn_apple.n.01	3ce
jimsonweed.n.01	3cf
jew.n.01	3d0
kike.n.01	3d1
liqueur.n.01	3d2
orange_liqueur.n.01	3d3
mocha.n.02	3d4
english.n.01	3d5
american_english.n.01	3d6
internal-combustion_engine.n.01	3d7
outboard_motor.n.01	3d8
silver_bell.n.01	3d9
silver-bell_tree.n.01	3da
verse.v.01	3db
elegize.v.01	3dc
echium.n.01	3dd
wind.n.01	3de
gust.n.01	3df
change_of_integrity.n.01	3e0
transformation.n.05	3e1
emergence.n.02	3e2
eruption.n.06	3e3
agreement.n.06	3e4
connivance.n.01	3e5
tape.n.01	3e6
adhesive_tape.n.01	3e7
adjust.v.01	3e8
part.n.01	3e9
substance.n.01	3ea
wrench.n.03	3eb
fungus_family.n.01	3ec
pezizaceae.n.01	3ed
kniphofia.n.01	3ee
poker_plant.n.01	3ef
shark.n.02	3f0
usurer.n.01	3f1
phylum.n.02	3f2
chordata.n.01	3f3
change_taste.v.01	3f4
felony.n.01	3f5
capture.n.04	3f6
priest.n.02	3f7
hoodoo.n.02	3f8
move.v.02	3f9
put.v.01	3fa
consume.v.02	3fb
sample.v.01	3fc
jar.v.05	3fd
appraisal.n.02	3fe
overestimate.n.01	3ff
atmospheric_phenomenon.n.01	400
destiny.n.01	401
valeriana.n.01	402
whole.n.01	403
unit.n.04	404
crystal.n.01	405
agency.n.01	406
bureau_of_the_census.n.01	407
difference_threshold.n.01	408
just-noticeable_difference.n.01	409
reference_book.n.01	40a
encyclopedia.n.01	40b
military_unit.n.01	40c
echelon.n.01	40d
primate.n.02	40e
monkey.n.01	40f
decapod_crustacean.n.01	410
prawn.n.02	411
boat.v.01	412
kayak.v.01	413
coelenterate_genus.n.01	414
acropora.n.01	415
asian.n.01	416
indian.n.02	417
failure.n.04	418
bankrupt.n.01	419
female.n.01	41a
lamium.n.01	41b
spurge.n.01	41c
caper_spurge.n.01	41d
bow.v.03	41e
scrape.v.04	41f
mill.n.04	420
water_mill.n.01	421
collection.n.04	422
conchology.n.01	423
correction.n.01	424
recompense.n.02	425
rejoice.v.01	426
exult.v.01	427
practice.n.04	428
medical_practice.n.01	429
solvent.n.01	42a
alkahest.n.01	42b
weapon.n.01	42c
sword.n.01	42d
diuretic_drug.n.01	42e
poem.n.01	42f
athlete.n.01	430
soccer_player.n.01	431
highjacking.n.01	432
piracy.n.01	433
physical_condition.n.01	434
disorder.n.01	435
otaria.n.01	436
slip_in.v.01	437
printer.n.01	438
compositor.n.01	439
liliidae.n.01	43a
mantidae.n.01	43b
diabetes_mellitus.n.01	43c
type_ii_diabetes.n.01	43d
initiate.v.02	43e
establish.v.02	43f
invite.v.04	440
challenge.v.02	441
antihypertensive.n.01	442
spironolactone.n.01	443
communicator.n.01	444
confessor.n.02	445
criminal.n.01	446
highjacker.n.01	447
chemical.n.01	448
fertilizer.n.01	449
ignoramus.n.01	44a
genus_hippeastrum.n.01	44b
antibacterial.n.01	44c
isoniazid.n.01	44d
lower_jaw.n.01	44e
lantern_jaw.n.01	44f
report.n.03	450
dispatch.n.01	451
cocktail.n.01	452
manhattan.n.02	453
eriodictyon.n.01	454
opinion.n.05	455
fatwa.n.01	456
basketball_player.n.01	457
quilt.n.01	458
patchwork.n.02	459
driver.n.02	45a
charioteer.n.01	45b
violation.n.02	45c
copyright_infringement.n.01	45d
zoology.n.02	45e
paleozoology.n.01	45f
betula.n.01	460
good_person.n.01	461
organic_phenomenon.n.01	462
abiogenesis.n.01	463
showman.n.02	464
pornographer.n.01	465
basic_cognitive_process.n.01	466
classification.n.03	467
volatile_storage.n.01	468
detach.v.03	469
cut_off.v.03	46a
effuse.v.03	46b
fatherhood.n.03	46c
exabit.n.01	46d
delay.n.02	46e
dalliance.n.01	46f
persuade.v.02	470
charm.v.04	471
infection.n.01	472
sore.n.01	473
bunch.n.01	474
tuft.n.01	475
gesticulate.v.01	476
bless.v.03	477
erosion.n.01	478
soil_erosion.n.01	479
message.n.02	47a
statement.n.01	47b
change_magnitude.v.01	47c
disclosure.n.01	47d
exposure.n.03	47e
worm_family.n.01	47f
ancylostomatidae.n.01	480
modify.v.01	481
qualify.v.03	482
refining.n.01	483
rectification.n.01	484
permeate.v.01	485
spiritize.v.01	486
pastorale.n.01	487
serviceman.n.01	488
draftee.n.01	489
resolution.n.06	48a
diagonalization.n.01	48b
nervous_tissue.n.01	48c
grey_matter.n.01	48d
total.v.01	48e
supporter.n.01	48f
pillar.n.03	490
academician.n.03	491
professor.n.01	492
pea.n.01	493
green_pea.n.01	494
bloodleaf.n.01	495
composite.n.02	496
crownbeard.n.01	497
bird_family.n.01	498
oriolidae.n.01	499
exercise.n.01	49a
calisthenics.n.02	49b
shave.v.03	49c
atom.n.01	49d
hydrogen_atom.n.01	49e
quail.n.02	49f
old_world_quail.n.01	4a0
codiaeum.n.01	4a1
expression.n.01	4a2
sparkle.n.01	4a3
drunkenness.n.01	4a4
sottishness.n.01	4a5
carry_through.v.01	4a6
dispatch.v.02	4a7
liquor.n.01	4a8
aqua_vitae.n.01	4a9
disguise.n.02	4aa
mask.n.01	4ab
utility.n.02	4ac
helpfulness.n.01	4ad
use.v.01	4ae
play.v.32	4af
oppressor.n.01	4b0
tormentor.n.01	4b1
rosid_dicot_family.n.01	4b2
callitrichaceae.n.01	4b3
ass.n.03	4b4
wild_ass.n.01	4b5
genus_sobralia.n.01	4b6
inseminate.v.02	4b7
impregnate.v.03	4b8
pedestrian.n.01	4b9
swaggerer.n.01	4ba
big_shot.n.01	4bb
supremo.n.01	4bc
edible_fruit.n.01	4bd
peach.n.03	4be
dilleniid_dicot_genus.n.01	4bf
myricaria.n.01	4c0
decide.v.01	4c1
seal.v.03	4c2
stone.n.02	4c3
gravestone.n.01	4c4
