Top250	1
Saltgrass Steak House	fa
402	fb
14.9%	fc
88	fd
10.0%	fe
Houston, TX	ff
Steak	100
53	101
Qdoba Mexican Eats	102
901	103
5.9%	104
730	105
-2.9%	106
Fast Casual & Mexican	107
136	108
Bar Louie	109
284	10a
128	10b
Addison, TX	10c
129	10d
Ninety Nine Restaurants	10e
324	10f
2.1%	110
0.9%	111
Woburn, MA	112
158	113
Rubio's	114
232	115
-0.1%	116
198	117
Islands Fine Burgers & Drinks	118
56	119
218	11a
Hurricane Grill & Wings	11b
151	11c
239	11d
Daylight Donuts	11e
132	11f
415	120
0.2%	121
Snack	122
193	123
Taco Bueno	124
178	125
-12.4%	126
145	127
-12.1%	128
90	129
Boston Market	12a
501	12b
-9.9%	12c
390	12d
-14.1%	12e
Fast Casual & Chicken	12f
Applebee's	130
4085	131
1665	132
-1.7%	133
84	134
Freddy's Frozen Custard & Steakburgers	135
12.9%	136
368	137
12.2%	138
Fast Casual & Burger	139
199	13a
Mimi's Bistro & Bakery	13b
172	13c
-4.8%	13d
77	13e
True Food Kitchen	13f
The health-focused chain with a rotating menu is in growth mode, with plans for new units as well as its first stand-alone cocktail and juice bar, located next to a new True Food Kitchen location at Caesars Palace in Las Vegas.	140
13.8%	141
28.0%	142
105	143
Maggiano's Little Italy	144
417	145
51	146
Steak 'n Shake	147
As of August, the chain had temporarily closed more than 100 locations with plans to refranchise them to single-store operators. And in early 2020, it announced plans to convert about 100 units to counter service. Prior to the coronavirus crisis, it was named in a Fitch Ratings report as a chain at risk of a Chapter 11 filing.	148
950	149
-7.7%	14a
576	14b
237	14c
The Coffee Bean & Tea Leaf	14d
The LA-based chain was acquired by Jollibee in July for $350 million, becoming the largest deal yet for the international fast-food company. Jollibee planned to grow the The Coffee Bean in Asia, where there's a race for coffee supremacy.	14e
-2.1%	14f
282	150
-0.7%	151
127	152
On The Border Mexican Grill & Cantina	153
327	154
-6.1%	155
-4.9%	156
50	157
In-N-Out Burger	158
957	159
4.6%	15a
351	15b
3.5%	15c
229	15d
Pollo Campero	15e
143	15f
78	160
230	161
Houlihan's	162
The chain filed for bankruptcy in November and was simultaneously acquired by Landry's for $40 million. The move followed the closure of 12 unprofitable stores. It joins Landry's collection of polished-casual chains such as Morton's The Steakhouse and McCormick & Schmick's.	163
-21.2%	164
-32.8%	165
Uno Pizzeria & Grill	166
196	167
-12.9%	168
236	169
Walk-On's Sports Bistreaux	16a
27.8%	16b
37.5%	16c
Red Lobster	16d
2490	16e
1.6%	16f
679	170
0.1%	171
122	172
Black Bear Diner	173
336	174
15.3%	175
15.0%	176
Redding, CA	177
180	178
Buca di Beppo	179
189	17a
-5.7%	17b
76	17c
192	17d
Shoney's	17e
-4.4%	17f
126	180
-0.8%	181
Eddie V's Prime Seafood	182
8.1%	183
21	184
10.5%	185
231	186
Old Country Buffet/HomeTown Buffet	187
142	188
-18.8%	189
49	18a
-24.6%	18b
Family Casual	18c
219	18d
The Old Spaghetti Factory	18e
150	18f
42	190
67	191
Ruth's Chris Steak House	192
703	193
1.5%	194
Winter Park, FL	195
104	196
Pollo Tropical	197
425	198
174	199
Miami, FL	19a
167	19b
Souplantation & Sweet Tomatoes	19c
211	19d
-3.3%	19e
97	19f
36	1a0
Zaxby's	1a1
1886	1a2
6.0%	1a3
910	1a4
166	1a5
Lazy Dog Restaurant & Bar	1a6
213	1a7
21.3%	1a8
20.0%	1a9
250	1aa
Jollibee	1ab
15.2%	1ac
40	1ad
11.1%	1ae
Hooters	1af
858	1b0
0.4%	1b1
341	1b2
Casual Dining & Sports Bar	1b3
Brio Tuscan Grille	1b4
217	1b5
-4.0%	1b6
57	1b7
Wayback Burgers	1b8
159	1b9
2.0%	1ba
0.7%	1bb
220	1bc
Taziki's Mediterranean Cafe	1bd
149	1be
11.9%	1bf
Ethnic	1c0
160	1c1
A&W All-American Food	1c2
The chain's 100th birthday found it working to reconcile its classic heritage with modern trends. It has doubled down on social media marketing to target younger generations and introduced tablet-based staff training to slow turnover. It's exploring delivery, though "the jury's still out," CEO Kevin Bazner told RB in July.	1c3
575	1c4
-6.5%	1c5
185	1c6
Sweetgreen	1c7
In June, Sweetgreen made its first acquisition: meal delivery service Galley Foods. The move signaled a new and more aggressive approach to delivery for the fast-growing chain, combining Sweetgreen's supply chain with Galley's knowledge of home delivery.	1c8
184	1c9
16.8%	1ca
102	1cb
Healthy	1cc
224	1cd
Duffy's Sports Grill	1ce
2.6%	1cf
34	1d0
55	1d1
Krispy Kreme	1d2
887	1d3
4.4%	1d4
364	1d5
Quick Service & Snack	1d6
69	1d7
Jason's Deli	1d8
647	1d9
283	1da
Fast Casual & Sandwich	1db
29	1dc
Outback Steakhouse	1dd
2635	1de
724	1df
Casual Dining & Steak	1e0
123	1e1
Twin Peaks	1e2
Braum's Ice Cream & Dairy Stores	1e3
268	1e4
281	1e5
Oklahoma City, OK	1e6
Frozen Desserts	1e7
71	1e8
Shake Shack	1e9
622	1ea
31.8%	1eb
27.2%	1ec
8	1ed
Dunkin'	1ee
Dunkin' dropped "Donuts" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. "To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin'," he said.	1ef
9228	1f0
5.0%	1f1
9630	1f2
Quick Service & Coffee Cafe	1f3
13	1f4
Sonic Drive-In	1f5
The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: "This is how we Sonic."	1f6
4687	1f7
3526	1f8
54	1f9
El Pollo Loco	1fa
894	1fb
482	1fc
-0.4%	1fd
65	1fe
Church's Chicken	1ff
716	200
-5.2%	201
1032	202
168	203
Friendly's	204
The family-dining chain closed many underperforming units in 2019, including 23 on one day in April, reducing its unit count by more than 20% for the year. The 86-year-old brand cited "shifting consumer demographics and market dynamics" as challenges.	205
210	206
-15.3%	207
-20.4%	208
Sizzler	209
259	20a
-3.8%	20b
-6.9%	20c
Mission Viejo, CA	20d
Pei Wei Asian Diner	20e
-12.5%	20f
-16.7%	210
Asian/Noodle	211
4	212
Taco Bell	213
11293	214
9.0%	215
6766	216
Quick Service & Mexican	217
249	218
Cook-Out Restaurant	219
10.1%	21a
270	21b
7.1%	21c
234	21d
BurgerFi	21e
112	21f
7.7%	220
Grand Lux Cafe	221
110	222
Taco John's	223
387	224
Cheyenne, WY	225
139	226
Rally's Hamburgers	227
-3.5%	228
290	229
-3.7%	22a
Lexington, KY	22b
216	22c
Paris Baguette	22d
The chain originating in South Korea is growing quickly in the U.S. under the guidance of growth-chain veterans such as Darren Tipton and Jack Moran, formerly of Le Pain Quotidien. Tipton moved up to CEO for U.S. operations in 2019, and Moran became the company's global chief.	22e
14.5%	22f
81	230
8.0%	231
61	232
Papa Murphy's Pizza	233
Though the chain saw declines in both sales and units in 2019, it remains beloved by consumers. Guests surveyed by Technomic named it their favorite limited-service pizza chain as well as a leader in tech-enabled ordering.	234
748	235
-5.9%	236
1329	237
-5.1%	238
244	239
L&L Hawaiian Barbecue	23a
5.1%	23b
195	23c
3.7%	23d
91	23e
The Habit Burger Grill	23f
500	240
273	241
68	242
Carrabba's Italian Grill	243
653	244
Godfather's Pizza	245
569	246
183	247
Fuddruckers	248
-15.8%	249
-11.5%	24a
72	24b
California Pizza Kitchen	24c
621	24d
Cafe Rio Mexican Grill	24e
267	24f
9.9%	250
6.8%	251
Salt Lake City, UT	252
Seasons 52	253
253	254
44	255
4.8%	256
Orlando, FL	257
Raising Cane's Chicken Fingers	258
1466	259
23.8%	25a
457	25b
14.3%	25c
66	25d
Tim Hortons	25e
On the other side of that equation is Tim Hortons, which saw its consumer approval ratings slip by nearly 6 points in 2019, according to Technomic. A turnaround plan includes a renewed focus on the chain's core coffee and breakfast platforms along with changes to its loyalty program and a $100 million investment in drive-thru menu boards.	25f
714	260
715	261
Toronto, ON	262
28	263
Papa John's	264
2638	265
-2.7%	266
3142	267
Bahama Breeze Island Grille	268
252	269
5.3%	26a
43	26b
7.5%	26c
Jamba	26d
514	26e
767	26f
Quick Service & Beverage	270
Luby's	271
Luby's, another of the industry's oldest concepts, also closed underperforming locations last year, shrinking its footprint by 6%. And in September, it said it had begun investigating "strategic alternatives," or a sale, merger or refinancing.	272
-7.5%	273
79	274
-6.0%	275
Five Guys Burgers and Fries	276
1661	277
7.4%	278
1368	279
221	27a
Menchie's Frozen Yogurt	27b
-3.1%	27c
416	27d
98	27e
Miller's Ale House	27f
446	280
10.2%	281
11.4%	282
The Melting Pot	283
-7.9%	284
Dave & Buster's	285
571	286
6.5%	287
Legal Sea Foods	288
-1.9%	289
186	28a
Golden Chick	28b
27	28c
Denny's	28d
2691	28e
1558	28f
-1.5%	290
203	291
Black Angus Steakhouse	292
-4.5%	293
25	294
IHOP	295
3266	296
1710	297
0.3%	298
Auntie Anne's	299
559	29a
1288	29b
Wetzel's Pretzels	29c
3.9%	29d
353	29e
214	29f
Anthony's Coal Fired Pizza	2a0
Lee's Famous Recipe Chicken	2a1
161	2a2
-2.3%	2a3
134	2a4
Jack's	2a5
9.8%	2a6
176	2a7
Birmingham, AL	2a8
2	2a9
Starbucks	2aa
21380	2ab
15049	2ac
26	2ad
Texas Roadhouse	2ae
3016	2af
11.0%	2b0
553	2b1
6	2b2
Subway	2b3
10200	2b4
-2.0%	2b5
23801	2b6
246	2b7
Rainforest Cafe	2b8
-10.4%	2b9
18	2ba
-5.3%	2bb
Hardee's	2bc
2020	2bd
1820	2be
12	2bf
Chipotle Mexican Grill	2c0
5509	2c1
14.8%	2c2
2584	2c3
20	2c4
Little Caesars	2c5
The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for "at least $5 less" than its competitors.	2c6
3811	2c7
4237	2c8
-0.6%	2c9
242	2ca
Biggby Coffee	2cb
240	2cc
3	2cd
Chick-fil-A	2ce
While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.	2cf
11320	2d0
13.0%	2d1
2470	2d2
Carl's Jr.	2d3
1423	2d4
1095	2d5
64	2d6
Cheddar's Scratch Kitchen	2d7
175	2d8
2.9%	2d9
Firebirds Wood Fired Grill	2da
6.3%	2db
89	2dc
Portillo's	2dd
505	2de
62	2df
8.8%	2e0
141	2e1
Pizza Ranch	2e2
269	2e3
7.3%	2e4
Orange City, IA	2e5
130	2e6
Village Inn	2e7
313	2e8
-9.0%	2e9
Denver, CO	2ea
163	2eb
Sbarro	2ec
300	2ed
-2.6%	2ee
Firehouse Subs	2ef
832	2f0
1155	2f1
83	2f2
Perkins Restaurant & Bakery	2f3
After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.	2f4
541	2f5
-9.5%	2f6
309	2f7
-13.0%	2f8
113	2f9
Blaze Pizza	2fa
366	2fb
12.4%	2fc
5.7%	2fd
Pasadena, CA	2fe
52	2ff
P.F. Chang's	300
917	301
Casual Dining & Asian	302
Marco's Pizza	303
628	304
915	305
Dairy Queen	306
3760	307
4381	308
17	309
Panda Express	30a
Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). "They continue to have just strong year after strong year, and there's never any competition in their segment," said Schimpf.	30b
3946	30c
12.0%	30d
2209	30e
Fast Casual & Asian/Noodle	30f
Cold Stone Creamery	310
369	311
895	312
Scottsdale, AZ	313
120	314
Cooper's Hawk Winery & Restaurants	315
19.9%	316
41	317
17.1%	318
Countryside, IL	319
204	31a
Smokey Bones Bar & Fire Grill	31b
New CEO James O'Reilly, hired in May, plans to overhaul the barbecue chain's menu this year, disposing of items such as fish and chips and getting back to the basics with house-smoked barbecue, steaks and burgers. It will also focus more on the bar, with an emphasis on craft beer and cocktails.	31c
-3.2%	31d
Fleming's Prime Steakhouse & Wine Bar	31e
307	31f
1.0%	320
Tampa, FL	321
14	322
KFC	323
4546	324
4065	325
74	326
Yard House	327
609	328
6.6%	329
9.7%	32a
226	32b
Topgolf	32c
The eatertainment chain developed a new, smaller prototype that will allow it to go into small and midsize cities, greatly expanding its potential market. It was focused on places with between 100,000 and 500,000 residents. The first such location opened in Kirkland, Wash., in January.	32d
14.6%	32e
7	32f
Wendy's	330
9762	331
4.2%	332
5852	333
248	334
Lupe Tortilla	335
12.1%	336
8.7%	337
Wingstop	338
2019 marked Wingstop's 16th consecutive year of comps growth. In October, it said it planned to broaden its offerings to include whole wings to take advantage of lower commodity prices on whole chickens.	339
1363	33a
19.0%	33b
1231	33c
9.5%	33d
Newk's Eatery	33e
Jimmy John's Gourmet Sandwiches	33f
2105	340
-1.6%	341
2787	342
140	343
Torchy's Tacos	344
272	345
17.3%	346
Austin, TX	347
155	348
Mastro's Restaurants	349
24	34a
Jack in the Box	34b
3504	34c
2243	34d
WaBa Grill	34e
156	34f
Uncle Julio's	350
11.7%	351
247	352
PDQ	353
-5.5%	354
-11.1%	355
Great Harvest Bread Co.	356
182	357
228	358
Pappasito's Cantina	359
Pret A Manger	35a
CEO Clive Schlee retired after 16 years at the helm of the natural foods chain, handing the reign to COO Pano Christou. The transition came in July as Pret prepared to take over U.K. vegetarian chain Eat.	35b
3.3%	35c
J. Alexander's	35d
38	35e
Culver's	35f
One of the country's fastest-growing chains over the past five years continued that trajectory in 2019, increasing sales by 13.9% and unit count by 6.7%. Because more than half of its sales come from takeout, it was working to improve its drive-thru technology and add mobile ordering.	360
1795	361
13.9%	362
732	363
Yogurtland	364
-2.2%	365
235	366
Mission BBQ	367
25.0%	368
21.6%	369
Le Pain Quotidien	36a
94	36b
30	36c
Whataburger	36d
2556	36e
5.8%	36f
830	370
147	371
Smashburger	372
265	373
312	374
164	375
Romano's Macaroni Grill	376
-4.6%	377
223	378
Tijuana Flats	379
22	37a
Buffalo Wild Wings	37b
3669	37c
1206	37d
137	37e
Sarku Japan	37f
2.4%	380
New York, NY	381
46	382
Jersey Mike's Subs	383
1340	384
16.7%	385
1667	386
11.6%	387
Dutch Bros. Coffee	388
567	389
13.2%	38a
125	38b
Jet's Pizza	38c
331	38d
383	38e
Sterling Heights, MI	38f
Hard Rock Cafe	390
87	391
Einstein Bros. Bagels	392
517	393
710	394
Quick Service & Bakery Cafe	395
106	396
Cicis	397
410	398
420	399
Coppell, TX	39a
Fogo de Chao	39b
326	39c
Plano, TX	39d
Eat'n Park	39e
63	39f
-7.4%	3a0
5	3a1
Burger King	3a2
10204	3a3
7346	3a4
MOD Pizza	3a5
467	3a6
18.2%	3a7
Fast Casual & Pizza	3a8
116	3a9
Zoes Kitchen	3aa
348	3ab
256	3ac
15	3ad
Olive Garden	3ae
Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.	3af
4287	3b0
866	3b1
Cinnabon	3b2
201	3b3
5.6%	3b4
956	3b5
148	3b6
Wienerschnitzel	3b7
330	3b8
Irvine, CA	3b9
99	3ba
Potbelly sandwich Shop	3bb
Potbelly closed stores and halted company-owned unit growth last year and hired a consulting firm to help it return to profitability. In a bid to boost operational efficiency, it debuted a new prototype in Chicago that reverses the concept's normal ordering process.	3bc
471	3bd
118	3be
Krystal Co.	3bf
343	3c0
318	3c1
-10.7%	3c2
Dunwoody, GA	3c3
169	3c4
Del Frisco's Double Eagle Steak House	3c5
205	3c6
LaRosa's Pizzeria	3c7
117	3c8
Corner Bakery_Cafe	3c9
-3.9%	3ca
The Original Pancake House	3cb
92	3cc
Logan's Roadhouse	3cd
496	3ce
222	3cf
Bruegger's Bagels	3d0
-2.8%	3d1
209	3d2
Shari's Cafe and Pies	3d3
TGI Fridays	3d4
1085	3d5
-8.5%	3d6
385	3d7
Metro Diner	3d8
36.3%	3d9
80	3da
Captain D's Seafood Kitchen	3db
561	3dc
Quick Service & Seafood	3dd
119	3de
Benihana	3df
340	3e0
Doral, FL	3e1
Asian	3e2
100	3e3
Hungry Howie's Pizza	3e4
439	3e5
7.0%	3e6
McAlister's Deli	3e7
725	3e8
460	3e9
Red Robin Gourmet Burgers and Brews	3ea
A tumultuous year for the burger chain included the retirement of CEO Denny Marie Post, who had been with Red Robin since 2011, and continued attempts by activist investors to force a sale of the company. It named Paul Murphy as its new CEO in September.	3eb
1548	3ec
556	3ed
Del Taco	3ee
596	3ef
Joe's Crab Shack	3f0
-7.0%	3f1
188	3f2
Bubba Gump Shrimp Co.	3f3
60	3f4
Moe's Southwest Grill	3f5
749	3f6
207	3f7
Roosters	3f8
Sonny's BBQ	3f9
-8.3%	3fa
Arby's	3fb
3884	3fc
3359	3fd
82	3fe
First Watch	3ff
558	400
35.1%	401
24.7%	402
146	403
Morton's The Steakhouse	404
266	405
Tropical Smoothie Cafe	406
21.8%	407
834	408
16.0%	409
Smoothie King	40a
462	40b
11.2%	40c
972	40d
111	40e
Texas de Brazil Churrascaria	40f
370	410
9.4%	411
154	412
Huddle House	413
342	414
245	415
Gyu-Kaku	416
18.6%	417
8.3%	418
Round Table Pizza	419
450	41a
La Madeleine Country French Cafe	41b
Which Wich	41c
Under the guidance of new President Cherry Hearn, the chain updated its food and beverage menu, starting with the introduction of french fries in July. It also planned to add more chef-created sandwiches in addition to its extensive build-your-own options.	41d
372	41e
86	41f
Noodles & Company	420
The chain followed up on its successful 2018 introduction of zucchini noodles with a cauliflower-based noodle last year. It also saw growth via digital channels and catering, and said it was poised to resume franchise growth that had slowed in recent years as the chain stabilized.	421
533	422
Johnny Rockets	423
-11.4%	424
37	425
LongHorn Steakhouse	426
1867	427
530	428
Ruby Tuesday	429
731	42a
451	42b
Penn Station East Coast Subs	42c
23	42d
Chili's Grill & Bar	42e
3563	42f
1242	430
233	431
Nobu	432
13.3%	433
103	434
O'Charley's	435
426	436
-7.6%	437
Nashville, TN	438
White Castle	439
579	43a
371	43b
Great American Cookies	43c
Taco Cabana	43d
311	43e
243	43f
Costa Vida Fresh Mexican Grill	440
5.2%	441
Pappadeaux Seafood Kitchen	442
Famous Dave's	443
329	444
-8.0%	445
Minnetonka, MN	446
Chuy's	447
Future50	448
Maple Street Biscuit Co.	449
Orange Park, Fla.	44a
28.9%	44b
1260	44c
Yes	44d
Rapid Fired Pizza	44e
Kettering, Ohio	44f
32.2%	450
29.6%	451
780	452
The Flying Biscuit Cafe	453
Atlanta, Ga.	454
19.5%	455
1510	456
Clean Juice	457
Charlotte, N.C.	458
121.9%	459
94.4%	45a
560	45b
Melt Shop	45c
New York, N.Y.	45d
39.6%	45e
35.7%	45f
Pokeworks	460
Irvine, Calif.	461
77.1%	462
56.3%	463
1210	464
By Chloe	465
25.6%	466
2800	467
No	468
Creamistry	469
Yorba Linda,  Calif.	46a
36.8%	46b
27.7%	46c
465	46d
Bibibop Asian Grill	46e
Columbus, Ohio	46f
24.6%	470
23.3%	471
1330	472
Bulla Gastrobar	473
Doral, Fla.	474
28.2%	475
4300	476
The Lost Cajun	477
Frisco, Texas	478
23.0%	479
785	47a
Duck Donuts	47b
Mechanicsburg, Pa.	47c
16.9%	47d
Surcheros	47e
Douglas, Ga.	47f
17.6%	480
1230	481
StoneFire Grill	482
Agoura Hills, Calif.	483
2550	484
Blue Sushi Sake Grill	485
Omaha, Neb.	486
3500	487
Condado Tacos	488
15.4%	489
2755	48a
Tacos 4 Life	48b
Conway, Ark.	48c
18.4%	48d
1620	48e
The Simple Greek	48f
Blue Bell, Pa.	490
52.5%	491
33.3%	492
775	493
Dog Haus	494
Pasadena, Calif.	495
34.5%	496
42.9%	497
1200	498
Gus's World Famous Fried Chicken	499
Memphis, Tenn.	49a
14.4%	49b
1600	49c
Original ChopShop	49d
Plano, Texas	49e
32.5%	49f
1930	4a0
Slapfish	4a1
Huntington Beach, Calif.	4a2
81.0%	4a3
90.9%	4a4
1370	4a5
Super Duper Burgers	4a6
San Francisco, Calif.	4a7
2630	4a8
Hawkers Asian Street Fare	4a9
Orlando, Fla.	4aa
30.0%	4ab
40.0%	4ac
3800	4ad
Joe & The Juice	4ae
25.9%	4af
25.5%	4b0
760	4b1
Eggs Up Grill	4b2
Spartanburg, S.C.	4b3
35.4%	4b4
36.7%	4b5
860	4b6
Clean Eatz	4b7
Wilmington, N.C.	4b8
79.7%	4b9
58.6%	4ba
685	4bb
Pita Mediterranean Street Food	4bc
Fairburn, Ga.	4bd
17.8%	4be
10.3%	4bf
Teriyaki Madness	4c0
Denver, Colo.	4c1
34.1%	4c2
65.8%	4c3
890	4c4
Famous Toastery	4c5
21.2%	4c6
1540	4c7
Culinary Dropout	4c8
Scottsdale, Ariz.	4c9
20.8%	4ca
3120	4cb
The Little Beet	4cc
26.5%	4cd
2230	4ce
Evergreens	4cf
Seattle, Wash.	4d0
130.5%	4d1
116.7%	4d2
1150	4d3
The Pizza Press	4d4
Anaheim, Calif.	4d5
23.7%	4d6
22.7%	4d7
1130	4d8
Spitz Mediterranean Street Food	4d9
Los Angeles, Calif.	4da
18.8%	4db
2700	4dc
Sugarfire Smokehouse	4dd
Olivette, Mo.	4de
25.4%	4df
2820	4e0
Jeni's Splendid Ice Creams	4e1
22.4%	4e2
22.2%	4e3
1050	4e4
Vitality Bowls	4e5
San Ramon, Calif.	4e6
30.1%	4e7
24.2%	4e8
Boqueria	4e9
22.0%	4ea
4260	4eb
Quickway Japanese Hibachi	4ec
Fairfax, Va.	4ed
21.4%	4ee
985	4ef
Dos Toros Taqueria	4f0
24.0%	4f1
1375	4f2
Playa Bowls	4f3
Belmar,  N.J.	4f4
62.9%	4f5
28.8%	4f6
580	4f7
The Human Bean	4f8
Medford, Ore.	4f9
19.8%	4fa
Just Salad	4fb
26.7%	4fc
1240	4fd
LA Crawfish	4fe
McAllen, Texas	4ff
13.6%	500
2050	501
Ike's Love & Sandwiches	502
30.8%	503
29.1%	504
700	505
&pizza	506
Washington, D.C.	507
1350	508
Bubbakoo's Burritos	509
Wall Township, N.J.	50a
24.3%	50b
970	50c
Joella's Hot Chicken	50d
Louisville, Ky.	50e
35.5%	50f
Bluestone Lane	510
33.0%	511
37.1%	512
1175	513
Independence100	514
Timberline Steaks and Grille	515
14362103	516
Denver	517
Colo.	518
553378	519
Hugo's Frog Bar & Fish House	51a
14790123	51b
Chicago	51c
Ill.	51d
190616	51e
Paddlefish	51f
19829500	520
Orlando 	521
Fla.	522
417500	523
Prime Steakhouse	524
18248030	525
Las Vegas	526
Nev.	527
113600	528
Swift & Sons	529
17637400	52a
195343	52b
The Rustic Inn	52c
15700000	52d
Ft. Lauderdale	52e
371000	52f
Portland City Grill	530
16111510	531
Portland	532
